# WELL TRACE FROM PETREL 
# WELL NAME:              JY68-4HF
# DEFINITIVE SURVEY:      JY68-4HF
# WELL HEAD X-COORDINATE: 751465.40000000 (m)
# WELL HEAD Y-COORDINATE: 3296459.90000000 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 639.17000000 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# ANGLES ARE GIVEN IN DEGREES
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# AZIMUTH REFERENCE UNDEFINED
# DX DY ARE UNDEFINED IN m-UNITS
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
#================================================================================================================================
      MD            X            Y            Z           TVD           DX          DY          AZIM         INCL         DLS
#================================================================================================================================
 3938.5200000 752026.30435 3294579.8781 -1794.806577 2433.9765769 560.90434716 -1880.021885 180.17000000 91.600000000 2.1943573668
 3943.3750000 752026.28995 3294575.0247 -1794.681606 2433.8516056 560.88994689 -1884.875251 180.17000000 91.350000000 1.5447991761
 3948.2300000 752026.27555 3294570.1709 -1794.577812 2433.7478123 560.87554514 -1889.729116 180.17000000 91.100000000 1.5447991761
 3953.0250000 752026.25923 3294565.3766 -1794.498312 2433.6683119 560.85922793 -1894.523424 180.22000366 90.800000305 1.9028401735
 3957.8200000 752026.23873 3294560.5819 -1794.443916 2433.6139156 560.83872543 -1899.318066 180.27000000 90.500000000 1.9028401735
 3962.6100000 752026.21824 3294555.7922 -1794.400026 2433.5700255 560.81824401 -1904.107820 180.22000042 90.550000209 0.4428541423
 3967.4000000 752026.20194 3294551.0024 -1794.351956 2433.5219556 560.80194259 -1908.897551 180.17000000 90.600000000 0.4428541423
 3972.2250000 752026.18973 3294546.1778 -1794.299324 2433.4693240 560.78973254 -1913.722248 180.12000050 90.650000247 0.4396377112
 3977.0500000 752026.18173 3294541.3531 -1794.242482 2433.4124821 560.78173292 -1918.546907 180.07000000 90.700000000 0.4396377112
 3981.8400000 752026.17379 3294536.5635 -1794.181873 2433.3518728 560.77379147 -1923.336516 180.11999943 90.750000286 0.4428453740
 3986.6300000 752026.16167 3294531.7739 -1794.117084 2433.2870838 560.76167045 -1928.126062 180.17000000 90.800000000 0.4428453740
 3991.4800000 752026.14940 3294526.9245 -1794.047251 2433.2172512 560.74939766 -1932.975544 180.12000065 90.850000324 0.4373615456
 3996.3300000 752026.14136 3294522.0750 -1793.973187 2433.1431867 560.74135696 -1937.824971 180.07000000 90.900000000 0.4373615456
 4001.1300000 752026.13549 3294517.2757 -1793.895697 2433.0656974 560.73549342 -1942.624342 180.07000000 90.950000000 0.3125000000
